Actividades;Agricultura, Ganadería, Caza y Silvicultura;Pesca y Acuicultura;Extracción de Petróleo, Gas y Minerales;Manufactura;Electricidad, Gas y Agua;Construcción;Comercio;Transporte, Almacen., Correo y Mensajería;Alojamiento y Restaurantes;Telecom. y Otros Serv. de Información;Administración Pública y Defensa;Otros Servicios;Valor Agregado Bruto;Impuestos a la Producción;Derechos de Importación;Producto Bruto Interno
2007;19074328;2364000;45892248;52806722;5505000;16317000;32537000;15884989;9143000;8517000;13723000;71425535;293189822;23672020;2831473;319693315
2008;20600110;2435000;49601414;57303650;5948000;19071000;36029000;17316536;10086000;9974000;14785000;75641146;318790856;26618399;3460639;348869894
2009;20783970;2321000;49910046;53599979;6008000;20319000;35735000;17152750;10148000;10784000;17472000;78289907;322523652;27397396;2772041;352693089
2010;21655968;1675000;50600520;59024010;6531000;23765000;39981000;19419096;10895000;11876000;18886000;83105478;347414072;31092161;3575225;382081458
2011;22516613;2709000;50750163;63942590;7066000;24626000;43434450;21631466;12103000;13243000;19691000;88217525;369930807;32442212;3883297;406256316
2012;23943890;1729000;51662027;64757811;7481000;28539000;47105000;23151964;13413000;14855000;21288000;93507262;391432954;35162701;4603062;431198717
2013;24216000;2126000;54304147;68154934;7734000;31228000;49408000;24687000;14323000;16149000;22110000;99093702;413533783;38194925;4706063;456434771
2014;24540000;1515000;53454046;67404986;8133000;31789000;50364000;25292000;15066000;17542000;23302000;104791956;423193988;39716922;4397059;467307969
2015;25294000;1791000;57947964;66824103;8666000;30083000;51919000;26371000;15562000;19133000;24160000;110438125;438189192;40458121;3859052;482506365
2016;25963000;1593000;65095040;66783228;9344000;29290000;53369000;27454000;15988000;20812000;25194000;114837231;455722499;42246926;3612049;501581474
2017;26624000;1750000;67438607;67154000;9432000;30002000;54070000;28554000;16194000;22523000;26027000;117990107;467758714;42666329;3790051;514215094
2018;28643000;2449000;66428606;71061682;9862220;31626000;55445000;30129000;16832000;23680000;27191000;123008000;486355508;44420343;3849052;534624903
2019;29487000;1883000;66255422;70098246;10291950;32126000;56849500;30887000;17634000;25323000;28090000;128066227;496991345;46141106;3276044;546408495
;;;;;;;;;;;;;;;;
